Total_position,Total_company,Salary_per_month
在线客服+上市福利+绩效,北京望月文化有限公司,4500.0
转播技术,北京柏莱特文化创意股份有限公司,3000.0
西西弗书店-咖啡师（北京凤凰汇店）,北京西西弗文化传播有限公司,3500.0
英语编辑,北京天下智慧报刊发行有限公司,4500.0
客服专员,北京京正国际展览有限公司,3500.0
新闻采编,北京优创视觉国际文化传媒有限公司,4500.0
广告销售顾问,上海斐凡信息技术有限公司,5000.0
出纳,北京桂湘文化艺术发展股份有限公司,4500.0
技术支持专员 双休+五险一金,北京瑞迪欧文化传播有限责任公司,4000.0
人力资源助理,奥飞娱乐股份有限公司,3000.0
客户专员（公共管理方向）,北京美兰德信息咨询有限公司,4500.0
客服专员,北京优思创脉市场顾问有限公司,4500.0
项目执行/协调人员（实习生）,北京天时诺进市场顾问有限公司,4000.0
工会直聘主播签约艺人,北京维奥维宏文化传媒有限公司,6000.0
行政助理,北京美克世家会展服务有限公司,3000.0
新媒体运营主管/专员/用户运营/活动运营,北京鸿特卓博咨询服务有限公司,6500.0
课程顾问,北京汉合文化传播有限公司,4500.0
招聘组实习生-北京-01138,凤凰网,2000.0
行政前台,北京耀鸿影视文化传媒有限公司,3000.0
总监助理,北京灵智精锐整合营销顾问有限公司,4000.0
程序化购买实习生,GroupM群邑（上海）广告有限公司北...,1760.0
移动互联网广告销售,北京赤金文化传媒有限公司,8000.0
新媒体运营专员,北京文鳐文化传播有限责任公司,4000.0
国际展会顾问（丰台科技园/底薪5500）,北京东方益达国际展览有限责任公司,6000.0
展览业务助理,尚展（北京）国际展示策划有限公司,3000.0
经理助理/秘书,北京岱博企业策划有限公司,3000.0
出纳,北京市古天一国际拍卖有限公司,4500.0
项目助理-实习生(会展AV方向),北京一嘉鹂音会展服务有限公司,4500.0
***插画师,北京翰墨怡香图书发行有限责任公司,3300.0
央视广告 资料审核/录入 入职培训,舞彩国际文化传媒（北京）有限公司,3500.0
旅游产品销售,北京天地新道广告有限公司,4000.0
销售专员（通讯行业）,北京小翼科技有限公司,7000.0
媒介专员,北京智源享众广告有限公司,4500.0
