Total_position,Total_company,Salary_per_month
漫画助理(上色）,成都世纪雷神科技有限公司,3000.0
信贷顾问月薪6000-9000,四川盛德数科科技有限公司,6000.0
电话销售2800+提成+双休+奖金,成都蓉城惠烁信息技术有限公司,6000.0
广告AE,成都三三九广告有限公司,4500.0
微信公众号运营编辑,成都香晨科技有限责任公司,4000.0
展览业务代表,四川和诚佳业展览展示服务有限公司,2000.0
网络推广实习生,四川云多多文化传播有限公司,4500.0
主播/网红艺人/签约艺人,四川麦播时尚影视传媒有限公司,12500.0
艺人经纪人,成都紫光影视文化传媒有限公司,4000.0
课程顾问,成都鹿林教育咨询有限公司,6000.0
文案策划,四川鹰派文化发展有限公司,3000.0
淘宝客服,成都朴十沟通广告有限公司,3500.0
纯网销底薪3500+7小时上班+高提,成都友利莱文化传播有限公司,8000.0
金融贷款销售客户经理 双休+朝九晚六+高薪提成,成都耀基科技有限公司,6000.0
网络主播（汽车行业）,四川滚滚文化传媒有限公司,4500.0
客户代表/广告业务员/销售人员,成都思拓广告传播有限责任公司,3000.0
搜狗广告销售专员（无责任底薪+高提成+双休+六险）,成都盘古互动广告有限公司,4000.0
急招项目执行助理,重庆诺趣文化传播股份有限公司四川...,3000.0
视频主播,成都华星兄弟文化传媒有限公司,10000.0
外文编辑,成都八光分文化传播有限公司,4500.0
招聘专员,成都恒瑞丹文化传播有限公司,3000.0
快印店后期装订,成都星辉创美图文数码快印有限公司,2000.0
销售文员+高底薪+住宿+全勤+五险,成都方与圆科技有限公司,6000.0
物流全勤操作/订单处理,成都欧魅时尚科技有限责任公司,3000.0
无责任底薪3200+高额提成+月收过万,成都易文达商贸有限公司,8000.0
数码客服,帆摄影,3000.0
销售行政助理,四川省大丰实业有限责任公司,4500.0
网络销售底薪3000起+福利好,成都盛之源体育文化传播有限公司,4000.0
财务助理,成都婚加文化传播有限公司,2000.0
微信小程序推广,成都象大科技有限公司,6000.0
婚礼策划招聘,成都和谐之声教育咨询有限公司,4500.0
网络邀约客服,锦江区兰孕堂摄影工作室,3000.0
文案策划/文案编写,成都思永文化传播有限公司,4000.0
总经办助理,成都艾尔墨文化传媒有限公司,3000.0
腾讯广告大客户销售（6险1金）,成都盘古网络有限公司,6000.0
销售代表—电视台栏目组,四川中影嘉禾文化传媒有限公司,6000.0
LED显示屏 维修员,深圳市炫彩视听设备有限公司,3000.0
四川电视台/美食外联/节目采编,四川千引力文化传媒有限公司,4500.0
编辑,商务印书馆（成都）有限责任公司,4500.0
日语图书版权助理,成都锐拓传媒广告有限公司,3000.0
前台客服,四川新辰体育文化有限公司,3000.0
网络销售精英+无责底薪3000元+高额提成+丰厚奖励,成都爱尚星拓文化传播有限公司,6000.0
客户专员,四川义扬创意装饰工程有限公司,2000.0
外勤（巡查拍照工作区域在簇桥-神仙树-武侯祠片区）,成都世纪星海广告有限公司,3000.0
行政助理,四川今日思维科技有限公司,3000.0
服务员（金牛区）,成都万达国际电影城有限公司,2000.0
活动策划实习生,四川众行远文化传播有限公司,1500.0
业务销售,四川省众杰文化传媒有限公司成都分...,5000.0
实习生,成都恒图教育咨询有限公司,2500.0
高薪招聘学徒工（提供系统岗前实训,四川创意茧教育科技有限公司,3000.0
办公室文员,公司名,0
客服文员,成都市巨鼎广告有限公司,3000.0
人事主管/专员+朝九晚六+周末双休,成都蓝海和创文化传播有限公司,3000.0
新加坡国际汉语老师中文老师,成都南鼎堂文化传播有限公司,3000.0
场馆安全技术管理员,青岛中优德惠文化交流咨询有限公司,8000.0
实习平面设计师,成都博阳大魔方演艺有限公司,3000.0
无试用期+2500底薪+六险+高额奖金,四川时光琥珀旅游资源开发有限公司,2000.0
儿童引导师,成都班德尔文化传播有限公司,50000.0
古装戏》剧组招聘演员艺人导演化妆摄影助理学徒,成都苹果树文化传播有限公司,3000.0
游乐园储备主管,北京巨擘广告制作有限公司,6000.0
销售代表,成都卡啦娃文化传播股份有限公司,4500.0
招商专员,成都传不科技有限公司,6000.0
销售顾问（选片顾问）,HBO 黄柏超品牌机构,5000.0
3D角色（次时代）,金夫人儿童天堂,6000.0
网络主播,成都创乐汇互娱科技有限公司,10000.0
店员/导购（成都双流万达）,成都中视盛泰文化传媒有限公司,3000.0
经纪人,深圳月步文化科技有限公司,3500.0
运营管培生,成都众合艺文化传媒有限公司,5000.0
数学编辑,上海世茂商业投资管理有限公司,4500.0
储备干部,四川省创优学苑文化传播有限公司,4500.0
客服专员,重庆嘉裕环球影业有限公司,2000.0
行政专员,成都华澳展览有限公司,2000.0
急聘销售顾问（无责3K+高提+奖金）,成都臻美文化传媒有限责任公司,2000.0
