Total_position,Total_company,Salary_per_month
展览项目助理实习岗（应届生）,上海博华国际展览有限公司,2000.0
业务员,广州市佳乐广告有限公司,3000.0
电话销售精英（朝九晚六+福利齐全）,乐智小天地（巧虎）,6000.0
互联网销售代表（双休+五险一金）G,广州天拓网络技术有限公司,6000.0
网页美工设计,广州顺扬信息科技有限公司,4500.0
电话市场开拓专员,广州哲盛展览策划有限公司,8000.0
互联网销售（周末双休）,广州松树网络科技有限公司,2000.0
招聘专员/白云江夏,广州励闻展览服务有限公司,2000.0
艺术品销售大客户,广州中古文化传媒服务有限公司,10000.0
前台文员,广州飞升创展管理有限公司,2000.0
技术助理,华逸（广州）文化传播有限公司,3000.0
销售人员（国外展会销售）,慧展科技（广州）有限公司,6000.0
采购跟单,广州搜通网络科技有限公司,3000.0
电商实习生,深圳腾畅科技有限公司,2000.0
客服助理（媒体）,广州源众广告有限公司,6000.0
宣发总监-隶属广东优创合影文化传播股份有限公司,广州珠江在线多媒体信息有限公司,12500.0
办公室文员,广州观点信息资讯服务有限公司,3500.0
互联网广告销售顾问（3K-过万）,广州招招盈网络科技有限公司,10000.0
餐厅服务员,广州市风雅颂广告有限公司,3000.0
仓库配货员,广州锋邦电子科技有限公司,3000.0
AE实习生,广州海乐因数字传媒科技有限公司,3000.0
行政前台文员,广州易动文化传播有限公司,3000.0
人事专员,广州史瓦西品牌管理有限公司,3000.0
网络销售+高提成+应届毕业生均可,广州华厦红色文化传播有限公司,6000.0
室内设计师,广州数祺数字科技有限公司,3500.0
媒介专员/媒介助理/媒介主任,广州市时空视点公关顾问有限公司,3500.0
广告文案/文案策划,广州市炎上广告有限公司,3500.0
财务/会计助理,广州红蜓公社艺术品有限公司,3000.0
电话销售CCTV项目独家市场（高底薪+高提成）,广东百皕网络有限公司,6000.0
三维特效师,广州名动影视文化有限公司,4000.0
销售业务员,广州市光巨灯饰有限公司,4500.0
淘宝商务拓展专员,广州市莫变文化传媒有限公司,8000.0
销售助理,龙帆传媒集团,3500.0
销售员,广东速度集团,6000.0
平面设计师,锋镝传媒（广州）有限公司,4000.0
销售经理,广州简知信息科技有限公司,5000.0
电话文员,广州引擎品牌策划有限公司,3000.0
网站运营专员,广州市幻天广告有限公司,6000.0
外贸业务员,广州金品电子科技有限公司,3000.0
销售经理,广州艺术之路采风策划有限公司,3000.0
外贸跟单英语翻译,广州艺森会展服务有限公司,4500.0
公司直招淘宝客服月薪4000+,广州推广匠网络科技有限公司,3000.0
天安人寿赠险电话预约专员,广州御峰信息咨询有限公司,3000.0
前台文员,广州市启辰展览服务有限公司,2000.0
电话销售（急招20人）,广州建南文化传播有限公司,3000.0
客服,广州快鱼文化传媒有限公司,3500.0
运营专员,广州西众广告有限公司,3000.0
网络销售（4000+零基础培训）,广州市耘蜂语文化传播有限公司,6000.0
客服专员,广东简约文化投资发展有限公司,3000.0
策划助理,铂良乐传媒广告（北京）有限公司,3000.0
策划经理,公司名,0
客户经理助理（新媒体运营）,广州致格广告有限公司,8000.0
影视微信推广专员,广州思进文化传播有限公司,2500.0
宣发部宣发员,广东德坤影视传媒有限公司,6000.0
市场拓展实习生,广州市英曼文化传媒有限公司,10000.0
销售代表,广州易和商务有限公司,3000.0
急聘平面设计助理（双休）,广州上官靖文化传播有限公司,4000.0
网络销售（包吃包住）周末双休,葛瑞光永体验设计（广州）有限公司,3000.0
客服专员（六险一金）,星道园影业（广州）有限公司,6000.0
销售助理   双休  早九晚六,广州辰岚广告有限公司,4000.0
多媒体 设计,广州乐游广告有限公司,3000.0
应届毕业生专招，无须经验（广州）,广州国佑致远文化发展有限责任公司,3000.0
人事专员/前台文员,北京华兴汇河文化交流有限公司,4100.0
英语翻译/英文编辑（年薪6-8万 地铁直达）,广州波谱展示设计有限公司,3000.0
材质师（附作品）,广州汇否翻译有限公司,4500.0
会展顾问/招展顾问/外展推广（双休+底薪+奖金）,广州市爆米花动画科技有限公司,6000.0
出纳兼行政,广东征途展览有限公司,8000.0
策划助理,广州市瑞展展览有限公司,2700.0
销售代表,广州市域创创意设计有限公司,3000.0
互联网销售专员 提供优质资源 月入过万,广州南红广告有限公司,3000.0
诚聘业务员,上海创蓝文化传播有限公司,8000.0
广告业务员,广州城果展览服务有限公司,3000.0
网络推广（无经验亦可）,广州市天曦广告有限公司,3000.0
摄影助理,广州李阳麦克思电子科技有限公司,3000.0
教务管理,广州道恩广告有限公司,2000.0
部门助理,广州唯艺文化传媒有限公司,4500.0
电销文员（无经验）,广州众道信息科技有限公司,3000.0
市场拓展专员,广州市墨璃艺术有限公司,3500.0
销售助理,广东省南方传媒发行物流有限公司,4500.0
平面设计师,广州星生文化传播有限公司,4500.0
VIP客服专员,蚁象（广州）文化传播有限公司,3000.0
广告安装工,广州雪影文化传媒有限公司,4000.0
派单领队,广州佳怡气模广告有限公司,4400.0
会展招商（整车方向）,广东胜效传媒股份有限公司,3000.0
电商主播,广州九州塔苏斯展览有限公司,3000.0
行政前台,引力播（深圳）文化传媒有限公司,3000.0
（高薪急聘）平面设计/网页设计,广州润芝文化传媒有限公司,3000.0
广告推广销售代表+五险+大小周+3000起,广州溯源文化传播有限公司,5000.0
会展招商专员（双休+底薪+提成）,广州零点互动网络科技有限公司,8000.0
网络主播,广东鸿威国际会展集团有限公司,4000.0
月薪4k高个子美眉前台,东莞市卓和文化传媒有限公司,3000.0
语言艺术培训老师,广州聚雅轩展览服务有限公司,4500.0
人力资源网络招聘专员,广州天羽文化发展有限公司,4500.0
裕丰地产 无责任4500+包住宿+节假福利,广州粤推广文化传播有限公司,4500.0
行政助理/前台,广州仁隆房地产销售代理有限公司五...,4000.0
礼服师（服装搭配师）,广州金川文化有限公司,3000.0
平面设计助理,广州爱城精致摄影有限公司,3000.0
影视演员/群众演员,广州淼彩广告有限公司,2000.0
高薪应聘销售助理,广州亲草营销策划有限公司,4000.0
