Total_position,Total_company,Salary_per_month
客服专员,杭州跟屁虫影视有限公司,4500.0
高薪诚聘 色彩设计师（主案设计师培养方向）,杭州北斗星色彩研究有限公司,10000.0
客户执行AE,杭州邦胜广告有限公司,4000.0
文案策划（五险一金+年终奖）,杭州微梦广告有限公司,3000.0
办公室文员,上海优歌文化传播有限公司杭州分公司,3800.0
转行销售无责4000+师傅带教+提成高+晋升快,杭州华邦房地产代理有限公司,6000.0
大型古装戏开机聘跟组演员及全职各大助理,兴茂文化传媒有限公司,6000.0
中小学数学老师,长兴苏湖文化传播有限公司,4000.0
实习生4000底薪+高提成+协助住宿+五险一金+快速晋升,杭州华邦房地产代理有限公司,6000.0
高级客户经理,浙江宸颐健康管理有限公司,4500.0
平面设计师,保翼文化艺术发展有限公司,3000.0
实习生,杭州教你文化策划有限公司,2000.0
（急聘、五险）活动策划,杭州伊兰营销策划有限公司,4500.0
医身项目  内容运营,浙江合力传美文化传媒股份有限公司,6000.0
课程顾问,杭州横越科技有限责任公司,5000.0
主播运营专员,杭州战鱼文化传播有限公司,3000.0
文案策划,杭州共联文化创意有限公司,4000.0
销售实习生,东方福利网,6000.0
户外广告客户执行（应届毕业生）,杭州之江国际广告有限公司,3000.0
电话客服专员 缴纳五险,杭州熙龙文化创意有限公司,4500.0
国际会展招展实习生（正式员工储备-底薪+提成+双休）,杭州嘉诺展览有限公司,2000.0
行政人事（杭州）,北京华兴汇河文化交流有限公司,3100.0
门店前台,汪正影业国际儿童摄影,2200.0
广告媒体销售员,上海精视文化传播有限公司,15000.0
国际会展销售代表（出国机会+五险一金）,杭州良拓会展有限公司,5000.0
销售月薪过万 提供住宿 透明晋升 五险一金,杭州华邦房地产代理有限公司,8000.0
（实习生）最young团队-销售代表3700起+社保,杭州益计算科技有限公司,6000.0
美工学徒0基础可带+补助双休,杭州淘理网络科技有限公司,4500.0
编导,浙江博顿影视文化有限公司,3000.0
前台接待（前台咨询顾问）,杭州墨彩教育信息咨询有限公司,4500.0
销售代表（8K+五险一金+包住）,杭州慕义贸易有限公司,8000.0
诚聘电话销售/销售代表/商务顾问,杭州海猫信息技术有限公司,6000.0
人事专员,杭州盛世传奇标识系统有限公司,4500.0
平面设计实习生,杭州若拙文化艺术有限公司,2000.0
房地产渠道专员,杭州鸿道房地产营销策划有限公司,4500.0
西湖数据专员+五险y,杭州华元广告策划有限公司,3333.333333333333
新媒体专员,杭州捷登控股有限公司,2000.0
面包车司机,杭州海瑞广告设计有限公司,4500.0
诚聘网络销售（挑战高薪酬待遇）,杭州凌平科技有限公司,10000.0
课程顾问,杭州富趣艺术培训有限公司,2000.0
墙绘学徒,杭州青石墙绘有限公司,6000.0
市场营销专员,杭州麦扑文化创意有限公司,4500.0
AE客户执行,杭州正东广告有限公司,6000.0
平面设计助理,杭州智研堂广告有限公司,4000.0
后期制作 实习生,杭州云瀚展览工程有限公司,2000.0
业务专员及储备主管,上海富百群贸易有限公司,8000.0
行政前台,浙江木玩世家玩具有限公司,3000.0
人力资源助理,南派泛娱有限公司,4500.0
移动互联网商务销售,杭州乐赢网络科技有限公司,8000.0
嵌入式软件工程师（余杭）,杭州热浪工业产品设计有限公司,8000.0
结构设计实习生,公司名,0
客服专员,杭州腾赢工业设计有限公司,3000.0
澳洲打工度假签证名额现已开放 名额有限 先到先得,杭州雨晨文化策划有限公司,3000.0
文案、AE实习生，应届毕业生,青岛中优德惠文化交流咨询有限公司,8000.0
U连锁便利店招营业员可实习,杭州远创房地产咨询有限公司,2000.0
应届毕业生（杭州）,杭州华元广告策划有限公司,4000.0
高薪招情趣私房内衣模特,浙江艺眸文化传媒有限公司,3000.0
招聘：影视后期制作/平面设计助理,杭州市下城区康酷摄影工作室,15000.0
西西弗书店-咖啡师（杭州临平银泰城店）,北京巨擘广告制作有限公司,6000.0
前台接待文员,重庆西西弗文化传播有限公司,3500.0
影视后期实习生,杭州博艺智联广告有限公司,3000.0
影院票房、卖品、场务,杭州米赞文化创意有限公司,2000.0
漫画主笔,中影影院投资有限公司,2800.0
业务助理,北京蓝海龙文化传播有限公司,8000.0
活动执行,杭州新石器创意机构,3000.0
安装工,杭州小童星儿童艺术策划有限公司,3000.0
西湖区密室NPC,杭州盛氏广告有限公司,3000.0
总经理助理/总经办助理/文秘/助理,杭州叉乘文化创意有限公司,5000.0
行政前台,杭州爱来屋电子商务有限公司,4000.0
西湖区西溪银泰店 美术助教老师,杭州布恩儿童摄影有限公司,3000.0
网站编辑实习生,杭州加百列文化创意有限公司,3000.0
多媒体技术人员,杭州品觉数字科技有限公司,2000.0
5000底薪招聘星探,风雅颂扬文化传播集团（杭州）有限...,4500.0
平面设计实习生,杭州艺歌文化传媒有限公司,5000.0
实习生（新媒体+专业培训+多元发展+旅游+地铁口）,杭州琢玉堂品牌设计事务所,1500.0
客服服务专员,杭州任性网络技术有限公司,3000.0
创意文案策划,杭州金夫人摄影服务有限公司,5000.0
市场专员,杭州子卯文化创意有限公司,5000.0
淘宝直播主播,长沙柏蓉文化咨询有限公司广州分公司,5000.0
影城服务员,杭州如懿文化创意有限公司,5000.0
行政前台,北京唐阁影院投资管理有限公司,2000.0
招生/课程顾问底薪3500元+1000元绩效+高提成,浙江中建网络科技股份有限公司,2000.0
软装设计助理,杭州轩捷文化传播有限公司,8000.0
杭州喜乐旅行社诚招同业销售精英,杭州源钰室内设计有限公司,3000.0
电话销售,杭州顺安会展有限公司,4500.0
内容编辑,杭州凡诺商务咨询有限公司,6000.0
客服专员,开始吧,6000.0
策划助理,尼尔森网联媒介数据服务有限公司北...,3500.0
网红运营专员,杭州诺鼎房地产策划有限公司,6000.0
娱乐主播,成都华星兄弟文化传媒有限公司,8000.0
微信公众号运营,杭州金海岸文化发展股份有限公司,12500.0
运营助理,浙江盈科万勤通信技术有限公司,4000.0
同声翻译专员（无需经验）,浙江自贸区中宝金融数据处理服务外...,3000.0
总经理助理,杭州蒙汉实业有限公司,3000.0
