Total_position,Total_company,Salary_per_month
礼仪,深圳市初心传媒发展有限公司,6000.0
销售专员,东方福利网,8333.333333333334
招生专员,深圳市华影东方文化发展有限公司,3500.0
10086纯接听客服文员（包住）,大不同信息产业（深圳）有限公司,4500.0
配音师,巨人媒体网络文化（深圳）有限公司,3000.0
实习岗位-幼少儿英语助教,深圳市童心爱文化传播有限责任公司,8000.0
推广专员,深圳市云卓数码科技有限公司,6000.0
销售助理,深圳市中科创威科技有限公司,3000.0
前台课程顾问,深圳市东亮教育信息咨询有限公司,4500.0
统计文员,深圳市铭仕创印刷有限公司,3000.0
无责任底薪6000+提成,豪天文化传媒（深圳）有限公司,6000.0
市场专员,深圳市世纪东方会展有限公司,3000.0
业务员,深圳前海逸途信息科技有限公司,4500.0
行政专员,深圳市精准分众传媒有限公司,4000.0
模型师,深圳市朗形数字科技有限公司,8000.0
会计,深圳腾清动漫股份有限公司,4000.0
市场公关助理,锋镝传媒（深圳）有限公司,5000.0
办公室文员/应届生,深圳市蓝景创意设计有限公司,3000.0
助理设计师（应届生）,深圳途胜广告有限公司,4500.0
毕业生平面设计师,深圳善觉品牌建设有限公司,4000.0
可新人舞蹈队员包吃住8k,深圳市聚力联城文化传媒有限公司,10000.0
早教老师,深圳海雅瑞德信息咨询有限公司,4000.0
办公室文员,深圳自由人传媒有限公司,3000.0
销售代表,深圳市森火展览展示有限公司,8000.0
活动策划专员,深圳市卓祺文化传播有限公司,3000.0
设计\电商储备岗位  总监助理,深圳电酷电子商务有限公司,4500.0
电话销售/销售专员/销售代表/客户代表,深圳宜和股份有限公司（深视宜和购...,4000.0
陈列设计师助理,深圳市诺维品牌形象设计有限公司,3000.0
平面设计助理,深圳市轩辕艺术设计有限公司,3000.0
视频主播,深圳纵横蜂巢传媒有限公司,10000.0
外贸销售业务,深圳市卓扬光电科技有限公司,5000.0
前台文员/行政助理,财富文化产业（深圳）有限公司,4500.0
新媒体实习生,深圳市上书房信息咨询有限公司,3000.0
平面设计/排版绘图,深圳市高招广告有限公司,3500.0
"应届生无经验均可,福利优越",盈富天成（深圳）信息咨询有限公司,6000.0
应届毕业生储备干部设备工程师,深圳市生彩广告有限公司,6000.0
平面设计实习生,深圳市雨云设计顾问有限公司,3000.0
礼服师,深圳市天长地久文化产业股份有限公司,6000.0
活动执行经理,深圳市乐奇体育文化传播有限公司,6000.0
包住急招5K客服（龙华）,深圳市皓兴传媒有限公司,4500.0
普工,深圳市三易灯箱制作有限责任公司,3000.0
客服专员/助理,深圳市联合威洋科技有限公司,3000.0
会计,深圳市吴师自通文化传播有限公司,3000.0
急聘网络销售+包住+无责底薪3500,深圳鸿盛网络传媒有限公司,3000.0
销售代表/业务代表/业务员/销售专员,深圳市鸿图设计影视传媒有限公司,8000.0
营销储备生（深圳）,奥飞娱乐股份有限公司,3800.0
网络客服销售,深圳市巴黎春天婚纱摄影有限公司,6000.0
网络主播,东莞市卓和文化传媒有限公司,3000.0
急聘网络销售+有无经验均可+无责任底薪,深圳春鼎聚信息技术有限公司,4000.0
播音主持专业老师,深圳微力量教育科技有限公司,12500.0
销售代表,公司名,0
会务,深圳市盛世互联信息技术有限公司龙...,6000.0
内贸业务员可接收应届毕业生包吃住,厦门从众互动文化传播有限公司,4000.0
电话销售,深圳市特美工艺品有限公司,4500.0
软件销售,深圳市米泰包装设计有限公司,4500.0
地推专员,深圳市摆渡人网络服务有限公司,8000.0
自媒体/文案编辑,鑫商圈集团（深圳）有限公司,8000.0
店长助理/前台接待/可实习,弓箭手媒体网络文化（深圳）有限公司,6000.0
互联网销售代表,广州反斗文化传播有限公司,4500.0
链家龙华底薪5K+高提成,深圳市清如许科技文化有限公司,4000.0
物流跟单/物流文员,深圳链家房地产经纪有限公司,5000.0
零基础礼仪歌手舞蹈学员包吃住,深圳市海科盛科技有限公司,3500.0
诚聘 生产工人 普工 学徒工 包吃住 操作员,深圳市万源达影视传播有限公司,5000.0
中学教师/英语老师/数学老师(试用期4K+可接受应届生),深圳市鹏城广告有限公司,4500.0
数码快印实习生,深圳点睛文化传播有限公司,5000.0
商务助理,深圳市赛牛办公服务有限公司,3500.0
高薪诚聘艺术品销售代表,深圳市炫彩视听设备有限公司,3000.0
跆拳道助教,深圳立信国际文化艺术品拍卖有限公司,6000.0
出纳,深圳市博艺国际教育发展有限公司,2000.0
外展销售/业务员,深圳市和乐文化传播有限公司,3000.0
产品专员,深圳市亚广展览有限公司,5000.0
行政前台,深圳市万合文化传播有限公司,6000.0
外贸业务员,柒月创意（国际）整合机构,3000.0
社会治理、社区服务项目助理（实习生）,深圳市新克斯科技有限公司,4000.0
电话客服专员,深圳市朴德文化传播有限公司,3500.0
海外运营专员  （科技园地铁站附近）,深圳市九象数字科技有限公司,5000.0
招主播4500加提成,上海创蓝文化传播有限公司,6000.0
行政助理,深圳大灵猫传媒文化有限公司,10000.0
客户服务主任,A8新媒体集团,4000.0
新媒体运营专员,环球资源（华南区）,5000.0
前台行政实习生,深圳今一文化有限公司,4500.0
销售代表+双休+底薪,励展博览集团,2000.0
会展专员,深圳市汇外国际展览广告有限公司,6000.0
工程专员,深圳市会展产业协会,4000.0
见习设计师,门承文化传播（上海）有限公司,6000.0
高薪急聘 网络销售,深圳市心智定位品牌互动营销有限公司,3000.0
销售/销售代表（京东无界零售）,深圳市诺百世电子科技有限公司,4500.0
制作部助理（***）,深圳市中视互动传媒科技有限公司,8000.0
少儿课程顾问（南山国企）,框架传媒深圳分公司,3000.0
网络销售/底薪4300起/只招新手无经验优先,深圳书城培训中心,4000.0
客服专员,深圳市乐有家控股集团有限公司,4000.0
微信公众号运营/编辑,深圳市金展文化传媒有限公司,4000.0
销售代表,深圳市朝歌文化传播有限公司,5000.0
设计师（实习）,深圳市赛杰尔材料有限公司,5000.0
业务经理,深圳市创美标识设计有限公司,3000.0
销售培训生（毕业生）,华臻（深圳）展览服务有限公司,8000.0
销售代表,深圳市黑马数字科技有限公司,4500.0
教育培训销售顾问,深圳北斗星光文化传媒有限公司,5000.0
前台文员/人事助理,深圳韵诚文化传播有限公司,6000.0
应届生书法助教,深圳市乐道形象策划有限公司,3000.0
区域销售经理,深圳市立阳书画教育有限公司,3000.0
初中英语老师,公司名,0
销售代表,深圳迪帕森乐器有限公司,6000.0
诚聘平面美工设计助理+双休,深圳市星思源文化传播有限公司,6000.0
行政文员,深圳喜沃互动网络科技有限公司,6000.0
（周末双休高提成）粤语电话销售,深圳市柏林影视科技有限公司,4500.0
欧美互惠生 免费上美国大学 还年薪七万起,深圳市超级品牌顾问有限公司,4000.0
平面设计师,深圳启盈媒体有限公司,6000.0
销售代表,青岛中优德惠文化交流咨询有限公司,5000.0
应往届毕业生 五险 双休 高提成,深圳市尼可概念文化艺术策划有限公司,4000.0
策划助理,深圳奥格威广告有限公司,8000.0
资料员,深圳市华师兄弟文化传播有限公司,3000.0
人力资源实习生,深圳市万海悦文化传媒有限公司,4500.0
行政文员,深圳市卓筑文旅设计科技发展有限公司,3000.0
效果图 后期制作 建筑类,深圳市鼎瀚文化股份有限公司,4500.0
乐器老师（龙岗中心城）,深圳市新东华麒文化传播有限公司,4000.0
招聘：影视后期制作/平面设计助理,深圳市深白数码影像设计有限公司,8000.0
业务代表（应届生均可）5000+,深圳市思睿博雅咨询有限公司,4000.0
运营助理/网络推广（应届生）,北京巨擘广告制作有限公司,6000.0
销售代表,深圳结果营销文化传播有限公司,5000.0
文员,深圳市亿科思奇广告有限公司,4000.0
摄影公司诚招业务员 电话 销售,深圳市瑞云科技有限公司,4000.0
室内设计师,龙帆传媒集团,3500.0
创意部实习生,深圳七彩舟文化传播有限公司,6000.0
西西弗书店-店员（深圳花园城店）,深圳市西亚展览展示有限公司,6000.0
房屋平面绘制师,新好耶数字技术（上海）有限公司,1500.0
高薪诚聘业务员,重庆西西弗文化传播有限公司,3800.0
运营助理,云图（深圳）平面设计有限公司,3000.0
销售精英,深圳微速文化传媒有限公司,6000.0
影院服务员,深圳专注文化传媒有限公司,3000.0
网络销售/护肤销售/服装销售,深圳市鲁班会展有限公司,3000.0
市场专员,中影影院投资有限公司,0
客服专员,深圳得众文化传媒有限公司,8000.0
销售助理,深圳月步文化科技有限公司,4500.0
普工,深圳市宏德网络文化传媒有限公司,3000.0
电话销售,深圳市六方金桥展览策划有限公司,3000.0
影视后期制作,深圳市宝安广艺美术装饰有限公司,3000.0
