Housename,District,Area,Street,House Stype,Acreage,Houseprice
绿地华家池印,江干,市中心,秋涛北路217号,3室,89-288㎡,均价52000元/㎡
璞丽东方,余杭,乔司,杭州市友爱路民丰路路口,3室4室,89-137㎡,均价27000元/㎡
绿地华家池印公馆,江干,市中心,秋涛北路与艮山西路交叉口,3室4室,46-110㎡,均价21000元/㎡
绿都汀蘭府,江干,丁桥,建塘路与明珠街交汇处,商住,89-115㎡,均价28000元/㎡
嘉和银领时代,余杭,临平,"藕花洲大街,近星桥南路",3室4室,242-350㎡,均价20000元/㎡
三花国际,江干,城东新城,明月桥路和鸿泰路交汇处（彭埠地铁站A...,7室别墅,46-52㎡,总价2500万元/套
绿城华景川之江明月,杭州周边,其他,海宁高新区聆涛路与海河路路口,商住,89-150㎡,均价49000元/㎡
世茂天宸,江干,市中心,艮山西路95号,3室4室,90-225㎡,最低35000元/㎡起
合景天銮,拱墅,申花,莫干山路989号,1室2室4室,121-169㎡,总价700万元/套起
禹洲滨之江,之江,之江,枫桦东路与梧桐路口,3室4室,89-139㎡,总价260万元/套
祥生群贤府,余杭,崇贤,崇杭街崇明路交叉口,3室4室,83-140㎡,均价15900元/㎡
合景映月台,余杭,仓前,"溪望路,近良睦路",3室4室别墅,85-225㎡,最低28000元/㎡起
宝嘉誉府,西湖,申花,紫荆花路和石祥路交叉口往西100米（石...,3室4室别墅,88-118㎡,最低27000元/㎡起
融创金成英特学府,余杭,闲林,天目山西路城东路口,3室4室,89-183㎡,均价44100元/㎡
滨湖天地,临安,临安,长桥路,3室4室别墅,61-167㎡,均价45000元/㎡
祥生云溪新语,之江,之江,文景路与碧波路交叉口,1室3室4室,43-49㎡,总价170万元/套
融创莫干溪谷,杭州周边,其他,郭肇村,商住,111-176㎡,均价32000元/㎡
朗诗熙华府,下城,市中心,胜景路与王马东路交汇处（原杭氧厂南侧...,别墅,113-136㎡,均价35000元/㎡
东原印未来,余杭,西溪,杭州市未来科技城文二西路与舒心路交叉...,3室4室,95-140㎡,最低20000元/㎡起
东方君悦,江干,钱江新城,民心路88号,3室4室,62-180㎡,均价40000元/㎡
浙港国际,西湖,申花,紫金花路与长江路口,商住,55-74㎡,均价28000元/㎡
中国铁建西湖国际城,西湖,三墩,紫金港北路延伸段（张家洋路与东陈路口...,商住,89-138㎡,均价32000元/㎡
龙湖天钜,萧山,萧山新城,育才路与博学路交叉口，银河实验小学东,3室4室,89-155㎡,均价30000元/㎡
德信海德公园,余杭,勾庄,杭州市东吴路与良运街交叉口,3室4室,83-125㎡,最低15000元/㎡起
旭辉珺悦府,萧山,萧山老城,萧然西路与潘水路交汇处东南角（地铁2...,3室4室,89-143㎡,均价32000元/㎡
东亚新干线,江干,城东新城,天城路与明月桥路交叉口,3室4室,43-67㎡,均价16000元/㎡
宋都江宸府,富阳,富阳,鹿山街道江波街与依江路交叉口,商住,98-138㎡,总价600万元/套起
荣安翡翠半岛,余杭,崇贤,杭州市余杭区崇杭街与崇明路交叉口,3室4室,89-137㎡,均价14000元/㎡
绿城莲园,余杭,临平,北沙西路荷花路口,3室4室,260㎡,最低17000元/㎡起
世包国际中心,江干,钱江新城,市民街99号,别墅,64.5-218.4㎡,均价16000元/㎡
绿城桃源小镇,余杭,闲林,闲沈路,商住,65-240㎡,均价17000元/㎡
保利融信大国璟,萧山,萧山新城,市心北路与建设一路交汇处东侧200米（...,2室3室4室5室别墅,97-205㎡,总价1000万元/套
