House Name,District,Area,Acreage,House Price rmb/m²
绿地华家池印,江干,市中心,89-288㎡,52000
绿都云和湖,西湖,三墩,89-107㎡,0
越秀星汇城二期后湾组团,临安,临安,89-122㎡,15000
嘉和银领时代,余杭,临平,242-350㎡,711
绿城华景川蘭园,杭州周边,其他,190543㎡,17800
融信江南学府,萧山,萧山新城,89-160㎡,0
绍兴恒大滨江御府,杭州周边,其他,87-137㎡,16000
碧桂园望江台,建德市,建德,168343㎡,21955
世茂天宸,江干,市中心,90-225㎡,65000
融创金成十锦台,临安,临安,107-127㎡,19800
荣安翡翠半岛,余杭,崇贤,89-137㎡,18000
合景天銮,拱墅,申花,121-169㎡,49000
绿城华景川之江明月,杭州周边,其他,89-150㎡,21000
和家园臻园,西湖,西溪,90-90㎡,40500
滨江保利翡翠海岸,上城,钱江新城,133-191㎡,60800
融信永兴首府,萧山,萧山新城,126-180㎡,29333
北辰国颂府,萧山,萧山新城,96㎡,34000
东原印未来,余杭,西溪,95-140㎡,35000
朗诗熙华府,下城,市中心,113-185㎡,45000
宝嘉誉府,西湖,申花,88-118㎡,36267
禹洲滨之江,之江,之江,89-139㎡,32000
璞丽东方,余杭,乔司,89-137㎡,28000
融创望海潮,萧山,萧山新城,89-125㎡,32000
融创东麟府,萧山,瓜沥,95-145㎡,17000
中旅名门府,萧山,萧山新城,95-125㎡,29333
祥生群贤府,余杭,崇贤,83-140㎡,0
中天珺府,临安,临安,90-122㎡,15550
绿城桃源小镇,余杭,闲林,65-240㎡,24779
中天富春诚品二期,富阳,富阳,100㎡,18500
融创金成未来海,余杭,西溪,130-139㎡,28517
合景映月台,余杭,仓前,85-225㎡,30936
中庆润泽院,富阳,富阳,82-115㎡,23667
融创金成江南府,余杭,闲林,89-136㎡,26408
阳光城丽景湾,富阳,富阳,98-130㎡,27000
旭辉珺悦府,萧山,萧山老城,89-143㎡,25000
绿城莲园,余杭,临平,260㎡,20000
融创微风之城,富阳,富阳,92-146㎡,28650
海上明月澜庭,萧山,萧山新城,82-130㎡,29333
天湖甲著,淳安县,淳安,88-139㎡,17506
宋都江宸府,富阳,富阳,98-138㎡,0
融信萧山公馆,萧山,萧山新城,141-181㎡,38000
滨湖天地,临安,临安,61-167㎡,15900
德信海德公园,余杭,勾庄,83-125㎡,0
复泰雅宸华庭,余杭,老余杭,45-400㎡,18483
中国铁建西湖国际城,西湖,三墩,89-138㎡,20667
融创金成英特学府,余杭,闲林,89-183㎡,24171
融信澜天,余杭,良渚,89-150㎡,25997
都会艺境,萧山,湘湖,87-130㎡,33693
领航城,萧山,萧山新城,88-145㎡,34000
龙湖天钜,萧山,萧山新城,89-155㎡,32000
理想康城国际,余杭,临平,129-187㎡,21500
新天地金色时光,江干,城东新城,90-128㎡,31000
保利融信大国璟,萧山,萧山新城,97-205㎡,29333
滨江华家池,江干,市中心,128-278㎡,55500
香港兴业耦园,余杭,西溪,117-190㎡,35619
碧桂园·天麓府,萧山,南部卧城,87-127㎡,20000
碧桂园泷悦,淳安县,淳安,109-141㎡,20227
琴湖碧园,余杭,瓶窑,87-130㎡,16217
华瑞晴庐,萧山,萧山老城,89-179㎡,28000
阳光城檀悦,萧山,钱江世纪城,102784㎡,34000
天都城天熙公馆,余杭,临平,195-249㎡,18167
越秀招商天悦江湾,江干,城东新城,113-139㎡,36000
万通时尚公馆,余杭,仓前,43-129㎡,25500
碧桂园越溪府,萧山,临浦,270000㎡,17646
碧桂园玖晟府,临安,临安,150000㎡,15550
和昌云栖玖著,富阳,富阳,89-126㎡,27000
碧桂园前宸府,萧山,南部卧城,121㎡,23000
天都城滨沁公寓,余杭,临平,90-115㎡,18167
碧桂园东旭府,萧山,湘湖,89-89㎡,27056
湖州恒大珺庭（德清）,杭州周边,其他,104-132㎡,18167
德信阳光城云溪洋房,杭州周边,其他,95-138㎡,16800
盈都君悦,下沙,大学城北,70-130㎡,18000
绿城雲杉郡,临安,临安,55-126㎡,15000
开元万科新都会,杭州周边,其他,94-134㎡,15000
融创宜和园,拱墅,申花,155-193㎡,48000
成龙官山邸,临安,临安,143-362㎡,420
旭辉宝龙东湖城,萧山,江东新城,139㎡,16963
明华名港城二期,萧山,瓜沥,92-160㎡,14000
中海御道,江干,钱江新城,108-235㎡,48000
万科劝学里,余杭,良渚,89-139㎡,27526
东海闲湖城,余杭,闲林,89-400㎡,30000
云水山居,富阳,富阳,135㎡,1200
玲珑郡,临安,临安,109-122㎡,14000
钱塘大观,滨江,浦沿,230-230㎡,1300
侨福一品高尔夫公馆,下沙,大学城北,87-168㎡,17000
万科融信西雅图,西湖,三墩,89-139㎡,0
绿城凤起潮鸣,下城,市中心,48㎡,67525
嘉丰万悦城,余杭,临平,87-95㎡,19375
欣北钱江国际广场,余杭,塘栖,36.67-77.02㎡,38
阳光城翡丽海岸,富阳,富阳,135-206㎡,20000
景瑞阳光城法兰公园,余杭,临平,93-217.47㎡,21125
融信公馆ARC,拱墅,市中心,121-139㎡,50000
阳光城未来悦,余杭,仓前,85-125㎡,28000
金丽园,余杭,临平,88-163㎡,18167
绿城运河宸园,拱墅,桥西,89-189㎡,39350
翡翠城,余杭,西溪,89-330㎡,30305
万科未来城二期,余杭,良渚,82-130㎡,27481
万丽璞丽,余杭,临平,360-500㎡,21500
地铁绿城杨柳郡,江干,城东新城,90-148㎡,36000
中梁千岛首府,淳安县,淳安,98-167㎡,20227
华夏四季,余杭,仓前,89-169㎡,34693
星运丽园兰逸,余杭,星桥,400㎡,26000
绿城九龙仓桂语江南,萧山,钱江世纪城,140-140㎡,35852
九龙仓君玺,下城,市中心,86-385㎡,65000
新湖武林国际公寓,下城,市中心,87-298㎡,70000
绿都南江壹号,萧山,南部卧城,89-480㎡,24000
万科玉泉,西湖,西溪,90-140㎡,46000
澳海香樟苑,富阳,富阳,90-106㎡,23667
悦青蓝,余杭,闲林,87-134㎡,25719
金辉贤林信步,余杭,闲林,89-124㎡,20000
融创越州府,杭州周边,其他,123-143㎡,18000
朗诗万科城市之光,下沙,大学城北,89㎡,20000
临平芳满庭,余杭,临平,89-127㎡,25000
绍兴艺境,杭州周边,其他,137㎡,12000
新奇世界上影安吉,杭州周边,其他,48-85㎡,14000
阳光城翡丽公园,萧山,萧山新城,89-108㎡,29333
金隅观澜时代,下沙,沿江,84-272㎡,16000
中南君奥时代,萧山,萧山新城,72-126㎡,29333
安吉清华园,杭州周边,其他,107-138㎡,6500
招商远洋春秋华庭,拱墅,上塘,89-139㎡,35082
绿城华景川桂语江南,杭州周边,其他,89-127㎡,13000
康美家园,淳安县,淳安,46-92㎡,8000
金都夏宫,余杭,临平,80-144㎡,700
远东紫宸花园,余杭,老余杭,56-91㎡,24579
昆仑华府,余杭,良渚,89-118㎡,27518
栢悦中心,余杭,临平,89-120㎡,20000
雅居乐国际花园,余杭,闲林,60-127㎡,25441
杭州颐和山庄,临安,临安,119.36-120.11㎡,16913
北大资源颐和江南,余杭,良渚,112-125㎡,27845
保亿绿城奥邸国际,萧山,钱江世纪城,185-216㎡,35000
首开杭州金茂府,拱墅,申花,125㎡,54000
国恒西溪公馆,余杭,西溪,105-129㎡,34960
中企艮山府,江干,钱江新城,88-280㎡,34000
融信保利创世纪,萧山,钱江世纪城,109-129㎡,35000
昆盛肖邦,江干,九堡,75-116㎡,29632
万科未来城梦溪里,余杭,良渚,89-137㎡,27235
竹径云山,余杭,良渚,120-180㎡,35667
九龙仓雍景山,富阳,富阳,105-250㎡,27000
宝龙城市广场,下沙,下沙,43.73-220㎡,23575
宋都阳光国际,江干,钱江新城,239-321㎡,41857
滨江春盛大江名筑,萧山,江东新城,143-250㎡,17262
大江东宝龙广场,萧山,江东新城,98-139㎡,12000
绿城华景川百合花园,杭州周边,其他,89-119㎡,18000
大美公寓,余杭,临平,81.76-161.08㎡,30000
东南钱江蓝湾,萧山,江东新城,186-332㎡,28799
阳光郡,拱墅,申花,140-178㎡,29000
新华园,拱墅,市中心,90-215㎡,48000
开元广场,萧山,南部卧城,78-242㎡,1200
协安紫郡,西湖,三墩,87-180㎡,35000
万科溪望,余杭,仓前,90-185㎡,31843
中南樾府,余杭,仓前,128㎡,32000
雨润星雨华府,临安,临安,89.85-218㎡,16913
武林外滩,下城,市中心,42-360㎡,90000
